created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-08 01:21:18 -02,1968,28.73000,70.28418,101001.26563,,,,
2019-11-08 01:21:39 -02,1969,28.73000,70.24902,100999.31250,,,,
2019-11-08 01:22:00 -02,1970,28.73000,70.23828,100999.56250,,,,
2019-11-08 01:22:20 -02,1971,28.73000,70.29492,100999.39844,,,,
2019-11-08 01:22:41 -02,1972,28.73000,70.23730,101000.58594,,,,
2019-11-08 01:23:02 -02,1973,28.72000,70.28125,100997.45312,,,,
2019-11-08 01:23:22 -02,1974,28.72000,70.30469,100996.93750,,,,
2019-11-08 01:23:43 -02,1975,28.72000,70.33887,100999.48437,,,,
2019-11-08 01:24:04 -02,1976,28.72000,70.32715,100995.25000,,,,
2019-11-08 01:24:24 -02,1977,28.72000,70.27051,100996.09375,,,,
2019-11-08 01:24:45 -02,1978,28.72000,70.32715,101001.09375,,,,
2019-11-08 01:25:06 -02,1979,28.72000,70.32715,100999.57031,,,,
2019-11-08 01:25:26 -02,1980,28.72000,70.30469,101001.77344,,,,
2019-11-08 01:25:47 -02,1981,28.71000,70.38477,100998.89063,,,,
2019-11-08 01:26:07 -02,1982,28.72000,70.37305,100998.04688,,,,
2019-11-08 01:26:28 -02,1983,28.71000,70.39453,101000.42188,,,,
2019-11-08 01:26:49 -02,1984,28.71000,70.40625,100999.31250,,,,
2019-11-08 01:27:09 -02,1985,28.72000,70.39648,101002.53906,,,,
2019-11-08 01:27:30 -02,1986,28.71000,70.39648,101000.42188,,,,
2019-11-08 01:27:51 -02,1987,28.71000,70.38477,101000.42188,,,,
2019-11-08 01:28:11 -02,1988,28.72000,70.39648,101001.85937,,,,
2019-11-08 01:28:32 -02,1989,28.71000,70.37207,100999.68750,,,,
2019-11-08 01:28:53 -02,1990,28.71000,70.41797,100998.97656,,,,
2019-11-08 01:29:13 -02,1991,28.71000,70.42969,101000.16406,,,,
2019-11-08 01:29:34 -02,1992,28.71000,70.44043,100997.99219,,,,
2019-11-08 01:29:55 -02,1993,28.71000,70.44043,101001.52344,,,,
2019-11-08 01:30:16 -02,1994,28.71000,70.39453,100994.48438,,,,
2019-11-08 01:30:36 -02,1995,28.72000,70.40820,100997.28125,,,,
2019-11-08 01:30:57 -02,1996,28.71000,70.39648,100996.01563,,,,
2019-11-08 01:31:18 -02,1997,28.71000,70.41797,100994.74219,,,,
2019-11-08 01:31:38 -02,1998,28.72000,70.38477,100993.04687,,,,
2019-11-08 01:31:59 -02,1999,28.71000,70.41895,100992.10937,,,,
2019-11-08 01:32:20 -02,2000,28.72000,70.41895,100991.68750,,,,
2019-11-08 01:32:40 -02,2001,28.72000,70.40820,100992.10937,,,,
2019-11-08 01:33:01 -02,2002,28.72000,70.40820,100991.09375,,,,
2019-11-08 01:33:22 -02,2003,28.72000,70.39648,100988.37500,,,,
2019-11-08 01:33:43 -02,2004,28.72000,70.36230,100985.92187,,,,
2019-11-08 01:34:03 -02,2005,28.71000,70.39648,100987.35937,,,,
2019-11-08 01:34:24 -02,2006,28.72000,70.39648,100987.10937,,,,
2019-11-08 01:34:45 -02,2007,28.72000,70.38477,100985.58594,,,,
2019-11-08 01:35:05 -02,2008,28.72000,70.41895,100987.45312,,,,
2019-11-08 01:35:26 -02,2009,28.72000,70.41895,100982.10937,,,,
2019-11-08 01:35:47 -02,2010,28.71000,70.41895,100982.78906,,,,
2019-11-08 01:36:07 -02,2011,28.72000,70.44238,100983.21094,,,,
2019-11-08 01:36:28 -02,2012,28.71000,70.49805,100984.31250,,,,
2019-11-08 01:36:49 -02,2013,28.71000,70.47656,100983.80469,,,,
2019-11-08 01:37:09 -02,2014,28.71000,70.45215,100980.84375,,,,
2019-11-08 01:37:30 -02,2015,28.71000,70.48633,100982.87500,,,,
2019-11-08 01:37:51 -02,2016,28.71000,70.52148,100985.32812,,,,
2019-11-08 01:38:12 -02,2017,28.71000,70.49805,100983.12500,,,,
2019-11-08 01:38:32 -02,2018,28.71000,70.48633,100983.37500,,,,
2019-11-08 01:38:53 -02,2019,28.71000,70.49805,100989.06250,,,,
2019-11-08 01:39:14 -02,2020,28.71000,70.50000,100984.82813,,,,
2019-11-08 01:39:34 -02,2021,28.71000,70.55566,100987.19531,,,,
2019-11-08 01:39:55 -02,2022,28.70000,70.54297,100986.21094,,,,
2019-11-08 01:40:16 -02,2023,28.69000,70.54004,100984.43750,,,,
2019-11-08 01:40:36 -02,2024,28.71000,70.52148,100983.92188,,,,
2019-11-08 01:40:57 -02,2025,28.71000,70.51074,100986.17187,,,,
2019-11-08 01:41:17 -02,2026,28.71000,70.51074,100986.17187,,,,
2019-11-08 01:41:38 -02,2027,28.71000,70.52148,100986.26562,,,,
2019-11-08 01:41:59 -02,2028,28.71000,70.53223,100990.25000,,,,
2019-11-08 01:42:20 -02,2029,28.71000,70.57813,100985.61719,,,,
2019-11-08 01:42:40 -02,2030,28.71000,70.47559,100989.06250,,,,
2019-11-08 01:43:01 -02,2031,28.71000,70.60156,100987.14063,,,,
2019-11-08 01:43:22 -02,2032,28.70000,70.59961,100989.00781,,,,
2019-11-08 01:43:42 -02,2033,28.71000,70.57813,100985.45313,,,,
2019-11-08 01:44:03 -02,2034,28.70000,70.61133,100985.70312,,,,
2019-11-08 01:44:24 -02,2035,28.70000,70.59961,100985.87500,,,,
2019-11-08 01:44:44 -02,2036,28.70000,70.58887,100988.92187,,,,
2019-11-08 01:45:05 -02,2037,28.70000,70.59961,100985.70312,,,,
2019-11-08 01:45:26 -02,2038,28.70000,70.59961,100985.10938,,,,
2019-11-08 01:45:46 -02,2039,28.70000,70.63281,100986.04687,,,,
2019-11-08 01:46:07 -02,2040,28.70000,70.63477,100986.38281,,,,
2019-11-08 01:46:27 -02,2041,28.71000,70.58984,100988.21875,,,,
2019-11-08 01:46:48 -02,2042,28.71000,70.61328,100982.61719,,,,
2019-11-08 01:47:09 -02,2043,28.70000,70.64453,100985.53125,,,,
2019-11-08 01:47:30 -02,2044,28.70000,70.62305,100984.26563,,,,
2019-11-08 01:47:50 -02,2045,28.70000,70.61133,100984.93750,,,,
2019-11-08 01:48:11 -02,2046,28.70000,70.58887,100984.00781,,,,
2019-11-08 01:48:32 -02,2047,28.70000,70.63477,100980.35937,,,,
2019-11-08 01:48:52 -02,2048,28.70000,70.62109,100981.71875,,,,
2019-11-08 01:49:13 -02,2049,28.70000,70.63281,100978.57812,,,,
2019-11-08 01:49:34 -02,2050,28.70000,70.61133,100981.46875,,,,
2019-11-08 01:49:54 -02,2051,28.71000,70.62402,100979.68750,,,,
2019-11-08 01:50:15 -02,2052,28.70000,70.63281,100976.89062,,,,
2019-11-08 01:50:36 -02,2053,28.70000,70.62305,100977.31250,,,,
2019-11-08 01:50:56 -02,2054,28.70000,70.62109,100979.43750,,,,
2019-11-08 01:51:17 -02,2055,28.70000,70.62109,100979.43750,,,,
2019-11-08 01:51:38 -02,2056,28.70000,70.63477,100979.85938,,,,
2019-11-08 01:51:58 -02,2057,28.70000,70.61133,100978.50000,,,,
2019-11-08 01:52:19 -02,2058,28.70000,70.64551,100977.22656,,,,
2019-11-08 01:52:40 -02,2059,28.70000,70.64551,100977.82031,,,,
2019-11-08 01:53:01 -02,2060,28.70000,70.65625,100977.06250,,,,
2019-11-08 01:53:21 -02,2061,28.70000,70.69043,100975.45313,,,,
2019-11-08 01:53:42 -02,2062,28.69000,70.69043,100975.35937,,,,
2019-11-08 01:54:03 -02,2063,28.70000,70.65625,100976.21094,,,,
2019-11-08 01:54:23 -02,2064,28.70000,70.64551,100975.02344,,,,
2019-11-08 01:54:44 -02,2065,28.70000,70.66699,100971.21094,,,,
2019-11-08 01:55:05 -02,2066,28.69000,70.66699,100970.78125,,,,
2019-11-08 01:55:25 -02,2067,28.70000,70.63281,100968.41406,,,,
2019-11-08 01:55:46 -02,2068,28.70000,70.64453,100966.79687,,,,
2019-11-08 01:56:06 -02,2069,28.70000,70.65723,100969.00781,,,,
2019-11-08 01:56:27 -02,2070,28.70000,70.70215,100965.95312,,,,
2019-11-08 01:56:48 -02,2071,28.70000,70.69043,100969.42969,,,,
2019-11-08 01:57:08 -02,2072,28.69000,70.71191,100965.61719,,,,
2019-11-08 01:57:29 -02,2073,28.69000,70.69043,100963.32812,,,,
2019-11-08 01:57:50 -02,2074,28.69000,70.71289,100963.40625,,,,
2019-11-08 01:58:10 -02,2075,28.69000,70.69043,100963.15625,,,,
2019-11-08 01:58:31 -02,2076,28.69000,70.69043,100960.10937,,,,
2019-11-08 01:58:52 -02,2077,28.69000,70.72363,100959.85938,,,,
2019-11-08 01:59:12 -02,2078,28.69000,70.71289,100957.73437,,,,
2019-11-08 01:59:33 -02,2079,28.69000,70.71191,100955.60937,,,,
2019-11-08 01:59:54 -02,2080,28.69000,70.70215,100957.90625,,,,
2019-11-08 02:00:15 -02,2081,28.69000,70.72461,100955.18750,,,,
2019-11-08 02:00:35 -02,2082,28.69000,70.73438,100955.10937,,,,
2019-11-08 02:00:56 -02,2083,28.69000,70.73633,100951.63281,,,,
2019-11-08 02:01:16 -02,2084,28.69000,70.73438,100951.89062,,,,
2019-11-08 02:01:37 -02,2085,28.69000,70.72461,100955.60937,,,,
2019-11-08 02:01:58 -02,2086,28.69000,70.72363,100949.17187,,,,
2019-11-08 02:02:18 -02,2087,28.69000,70.74609,100950.87500,,,,
2019-11-08 02:02:39 -02,2088,28.68000,70.76953,100952.48437,,,,
2019-11-08 02:03:00 -02,2089,28.68000,70.76953,100949.09375,,,,
2019-11-08 02:03:20 -02,2090,28.69000,70.75781,100949.85937,,,,
2019-11-08 02:03:41 -02,2091,28.68000,70.75586,100947.90625,,,,
2019-11-08 02:04:02 -02,2092,28.68000,70.75781,100945.78125,,,,
2019-11-08 02:04:23 -02,2093,28.68000,70.75781,100948.75000,,,,
2019-11-08 02:04:43 -02,2094,28.69000,70.74609,100948.32812,,,,
2019-11-08 02:05:04 -02,2095,28.68000,70.73438,100947.48437,,,,
2019-11-08 02:05:25 -02,2096,28.68000,70.76953,100950.53125,,,,
2019-11-08 02:05:45 -02,2097,28.68000,70.78027,100948.32812,,,,
2019-11-08 02:06:06 -02,2098,28.68000,70.75781,100946.46875,,,,
2019-11-08 02:06:27 -02,2099,28.68000,70.73438,100944.59375,,,,
2019-11-08 02:06:47 -02,2100,28.68000,70.73438,100948.24219,,,,
2019-11-08 02:07:08 -02,2101,28.68000,70.75781,100946.79687,,,,
2019-11-08 02:07:29 -02,2102,28.68000,70.74609,100948.32812,,,,
2019-11-08 02:07:49 -02,2103,28.68000,70.74609,100944.59375,,,,
2019-11-08 02:08:10 -02,2104,28.68000,70.73340,100944.51562,,,,
2019-11-08 02:08:31 -02,2105,28.67000,70.75586,100941.32812,,,,
2019-11-08 02:08:51 -02,2106,28.68000,70.73340,100941.89062,,,,
2019-11-08 02:09:12 -02,2107,28.68000,70.79102,100941.21094,,,,
2019-11-08 02:09:33 -02,2108,28.67000,70.77734,100939.89062,,,,
2019-11-08 02:09:54 -02,2109,28.67000,70.77734,100938.70312,,,,
2019-11-08 02:10:14 -02,2110,28.66000,70.80078,100938.10937,,,,
2019-11-08 02:10:35 -02,2111,28.67000,70.75488,100936.83594,,,,
2019-11-08 02:10:55 -02,2112,28.67000,70.75488,100938.10937,,,,
2019-11-08 02:11:16 -02,2113,28.67000,70.74316,100939.37500,,,,
2019-11-08 02:11:37 -02,2114,28.67000,70.76660,100936.92187,,,,
2019-11-08 02:11:57 -02,2115,28.67000,70.75488,100939.12500,,,,
2019-11-08 02:12:18 -02,2116,28.67000,70.75488,100936.41406,,,,
2019-11-08 02:12:39 -02,2117,28.67000,70.76660,100936.92187,,,,
2019-11-08 02:12:59 -02,2118,28.66000,70.78906,100940.14062,,,,
2019-11-08 02:13:20 -02,2119,28.66000,70.78906,100935.06250,,,,
2019-11-08 02:13:41 -02,2120,28.66000,70.80078,100936.07812,,,,
2019-11-08 02:14:02 -02,2121,28.66000,70.86816,100936.37500,,,,
2019-11-08 02:14:22 -02,2122,28.66000,70.80078,100935.31250,,,,
2019-11-08 02:14:43 -02,2123,28.66000,70.80078,100937.17187,,,,
2019-11-08 02:15:04 -02,2124,28.66000,70.82324,100937.00000,,,,
2019-11-08 02:15:24 -02,2125,28.67000,70.77734,100937.93750,,,,
2019-11-08 02:15:45 -02,2126,28.66000,70.78906,100935.90625,,,,
2019-11-08 02:16:06 -02,2127,28.67000,70.78906,100934.54687,,,,
2019-11-08 02:16:27 -02,2128,28.66000,70.82324,100933.95312,,,,
2019-11-08 02:16:47 -02,2129,28.67000,70.82324,100934.46875,,,,
2019-11-08 02:17:08 -02,2130,28.66000,70.86914,100933.44531,,,,
2019-11-08 02:17:29 -02,2131,28.66000,70.85840,100931.75000,,,,
2019-11-08 02:17:49 -02,2132,28.66000,70.86914,100929.71875,,,,
2019-11-08 02:18:10 -02,2133,28.66000,70.86816,100929.85937,,,,
2019-11-08 02:18:31 -02,2134,28.66000,70.84668,100930.73437,,,,
2019-11-08 02:18:51 -02,2135,28.66000,70.86914,100929.12500,,,,
2019-11-08 02:19:12 -02,2136,28.66000,70.84668,100931.15625,,,,
2019-11-08 02:19:33 -02,2137,28.67000,70.82324,100928.02344,,,,
2019-11-08 02:19:53 -02,2138,28.66000,70.84668,100927.09375,,,,
2019-11-08 02:20:14 -02,2139,28.66000,70.84473,100928.57813,,,,
2019-11-08 02:20:35 -02,2140,28.66000,70.84473,100925.70312,,,,
2019-11-08 02:20:55 -02,2141,28.65000,70.85645,100922.48437,,,,
2019-11-08 02:21:16 -02,2142,28.66000,70.86816,100920.35937,,,,
2019-11-08 02:21:37 -02,2143,28.65000,70.92578,100924.51563,,,,
2019-11-08 02:21:58 -02,2144,28.66000,70.85645,100921.89062,,,,
2019-11-08 02:22:18 -02,2145,28.65000,70.86719,100923.92187,,,,
2019-11-08 02:22:39 -02,2146,28.66000,70.87988,100920.87500,,,,
2019-11-08 02:23:00 -02,2147,28.65000,70.87793,100921.12500,,,,
2019-11-08 02:23:20 -02,2148,28.65000,70.89063,100923.32813,,,,
2019-11-08 02:23:41 -02,2149,28.66000,70.89063,100923.67187,,,,
2019-11-08 02:24:02 -02,2150,28.66000,70.87988,100918.50000,,,,
2019-11-08 02:24:23 -02,2151,28.66000,70.87988,100920.45312,,,,
2019-11-08 02:24:43 -02,2152,28.66000,70.85645,100921.29687,,,,
2019-11-08 02:25:04 -02,2153,28.66000,70.88086,100922.59375,,,,
2019-11-08 02:25:25 -02,2154,28.67000,70.86914,100923.27344,,,,
2019-11-08 02:25:45 -02,2155,28.67000,70.84668,100920.56250,,,,
2019-11-08 02:26:06 -02,2156,28.66000,70.82324,100922.51562,,,,
2019-11-08 02:26:26 -02,2157,28.66000,70.86914,100920.98437,,,,
2019-11-08 02:26:47 -02,2158,28.66000,70.85840,100920.31250,,,,
2019-11-08 02:27:08 -02,2159,28.66000,70.90430,100919.03906,,,,
2019-11-08 02:27:28 -02,2160,28.65000,70.92383,100915.28125,,,,
2019-11-08 02:27:49 -02,2161,28.66000,70.92578,100919.09375,,,,
2019-11-08 02:28:10 -02,2162,28.66000,70.92578,100917.06250,,,,
2019-11-08 02:28:31 -02,2163,28.66000,70.92578,100915.70313,,,,
2019-11-08 02:28:51 -02,2164,28.66000,70.94824,100916.04687,,,,
2019-11-08 02:29:12 -02,2165,28.66000,70.91504,100917.09375,,,,
2019-11-08 02:29:33 -02,2166,28.66000,70.92676,100915.31250,,,,
2019-11-08 02:29:53 -02,2167,28.66000,70.93848,100915.05469,,,,
2019-11-08 02:30:14 -02,2168,28.66000,70.91504,100915.39062,,,,
2019-11-08 02:30:35 -02,2169,28.67000,70.90430,100912.50781,,,,
2019-11-08 02:30:55 -02,2170,28.67000,70.92676,100913.78125,,,,
2019-11-08 02:31:16 -02,2171,28.67000,70.92676,100912.08594,,,,
2019-11-08 02:31:36 -02,2172,28.66000,70.94824,100909.26563,,,,
2019-11-08 02:31:57 -02,2173,28.66000,70.95996,100909.68750,,,,
2019-11-08 02:32:18 -02,2174,28.66000,70.92676,100911.23438,,,,
2019-11-08 02:32:38 -02,2175,28.66000,70.93848,100909.46094,,,,
2019-11-08 02:32:59 -02,2176,28.66000,70.90430,100908.78125,,,,
2019-11-08 02:33:20 -02,2177,28.67000,70.89258,100909.79687,,,,
2019-11-08 02:33:40 -02,2178,28.66000,70.93652,100905.35938,,,,
2019-11-08 02:34:01 -02,2179,28.67000,70.90430,100907.34375,,,,
2019-11-08 02:34:22 -02,2180,28.66000,70.93848,100906.07031,,,,
2019-11-08 02:34:42 -02,2181,28.67000,70.93848,100905.31250,,,,
2019-11-08 02:35:03 -02,2182,28.66000,70.94824,100903.32813,,,,
2019-11-08 02:35:24 -02,2183,28.66000,70.96094,100903.35937,,,,
2019-11-08 02:35:44 -02,2184,28.66000,70.96094,100903.69531,,,,
2019-11-08 02:36:05 -02,2185,28.67000,70.93848,100902.34375,,,,
2019-11-08 02:36:26 -02,2186,28.66000,70.93848,100902.51562,,,,
2019-11-08 02:36:46 -02,2187,28.67000,70.93848,100901.40625,,,,
2019-11-08 02:37:07 -02,2188,28.66000,70.96094,100899.12500,,,,
2019-11-08 02:37:28 -02,2189,28.66000,70.96094,100897.08594,,,,
2019-11-08 02:37:48 -02,2190,28.66000,70.96094,100899.03125,,,,
2019-11-08 02:38:09 -02,2191,28.67000,70.96094,100899.03125,,,,
2019-11-08 02:38:30 -02,2192,28.66000,70.97266,100896.66406,,,,
2019-11-08 02:38:50 -02,2193,28.66000,70.97168,100893.83594,,,,
2019-11-08 02:39:11 -02,2194,28.66000,70.94824,100894.76562,,,,
2019-11-08 02:39:32 -02,2195,28.66000,70.98242,100894.59375,,,,
2019-11-08 02:39:53 -02,2196,28.66000,70.97168,100894.42969,,,,
2019-11-08 02:40:13 -02,2197,28.66000,70.94824,100892.56250,,,,
2019-11-08 02:40:34 -02,2198,28.66000,70.96094,100893.18750,,,,
2019-11-08 02:40:55 -02,2199,28.67000,70.95020,100892.42188,,,,
2019-11-08 02:41:15 -02,2200,28.66000,71.01855,100893.10938,,,,
2019-11-08 02:41:36 -02,2201,28.66000,70.96094,100894.96875,,,,
2019-11-08 02:41:57 -02,2202,28.66000,70.93848,100892.34375,,,,
2019-11-08 02:42:17 -02,2203,28.66000,70.96094,100887.84375,,,,
2019-11-08 02:42:38 -02,2204,28.66000,70.96094,100888.85937,,,,
2019-11-08 02:42:59 -02,2205,28.66000,70.96094,100890.39063,,,,
2019-11-08 02:43:19 -02,2206,28.66000,70.99609,100890.64844,,,,
2019-11-08 02:43:40 -02,2207,28.66000,70.98437,100885.56250,,,,
2019-11-08 02:44:01 -02,2208,28.66000,70.97266,100886.15625,,,,
2019-11-08 02:44:22 -02,2209,28.66000,70.96094,100884.62500,,,,
2019-11-08 02:44:42 -02,2210,28.66000,70.93652,100886.20312,,,,
2019-11-08 02:45:03 -02,2211,28.66000,70.95020,100883.43750,,,,
2019-11-08 02:45:24 -02,2212,28.66000,70.92676,100886.92187,,,,
2019-11-08 02:45:44 -02,2213,28.66000,70.96094,100884.12500,,,,
2019-11-08 02:46:05 -02,2214,28.66000,70.93848,100888.01563,,,,
2019-11-08 02:46:26 -02,2215,28.66000,70.93848,100885.89844,,,,
2019-11-08 02:46:46 -02,2216,28.66000,70.95020,100885.30469,,,,
2019-11-08 02:47:07 -02,2217,28.66000,70.93652,100885.70313,,,,
2019-11-08 02:47:27 -02,2218,28.66000,70.90430,100885.81250,,,,
2019-11-08 02:47:48 -02,2219,28.66000,70.91406,100886.03906,,,,
2019-11-08 02:48:09 -02,2220,28.66000,70.95020,100888.27344,,,,
2019-11-08 02:48:30 -02,2221,28.66000,70.93652,100888.40625,,,,
2019-11-08 02:48:50 -02,2222,28.66000,70.95020,100889.37500,,,,
2019-11-08 02:49:11 -02,2223,28.66000,70.94824,100888.92188,,,,
2019-11-08 02:49:32 -02,2224,28.66000,70.94824,100887.56250,,,,
2019-11-08 02:49:52 -02,2225,28.65000,70.98242,100887.73438,,,,
2019-11-08 02:50:13 -02,2226,28.66000,70.93652,100888.50000,,,,
2019-11-08 02:50:34 -02,2227,28.65000,70.96973,100891.54687,,,,
2019-11-08 02:50:54 -02,2228,28.66000,70.95996,100886.46094,,,,
2019-11-08 02:51:15 -02,2229,28.66000,70.97168,100886.37500,,,,
2019-11-08 02:51:36 -02,2230,28.66000,70.96094,100887.34375,,,,
2019-11-08 02:51:56 -02,2231,28.66000,70.94824,100887.31250,,,,
2019-11-08 02:52:17 -02,2232,28.66000,70.94824,100882.90625,,,,
2019-11-08 02:52:38 -02,2233,28.65000,70.97168,100886.89063,,,,
2019-11-08 02:52:58 -02,2234,28.65000,70.95996,100885.35937,,,,
2019-11-08 02:53:19 -02,2235,28.65000,70.93652,100886.37500,,,,
2019-11-08 02:53:40 -02,2236,28.66000,70.93652,100885.44531,,,,
2019-11-08 02:54:00 -02,2237,28.66000,70.94824,100885.95312,,,,
2019-11-08 02:54:21 -02,2238,28.65000,70.97168,100886.03906,,,,
2019-11-08 02:54:42 -02,2239,28.66000,70.95996,100884.85156,,,,
2019-11-08 02:55:03 -02,2240,28.66000,70.94824,100885.28125,,,,
2019-11-08 02:55:23 -02,2241,28.66000,70.95996,100886.96875,,,,
2019-11-08 02:55:44 -02,2242,28.66000,70.95996,100888.32812,,,,
2019-11-08 02:56:05 -02,2243,28.66000,70.92578,100887.14062,,,,
2019-11-08 02:56:25 -02,2244,28.65000,70.95996,100884.85156,,,,
2019-11-08 02:56:46 -02,2245,28.65000,70.97168,100888.07813,,,,
2019-11-08 02:57:06 -02,2246,28.65000,70.99316,100887.14062,,,,
2019-11-08 02:57:27 -02,2247,28.65000,70.98145,100886.96875,,,,
2019-11-08 02:57:48 -02,2248,28.66000,70.92578,100887.39062,,,,
2019-11-08 02:58:09 -02,2249,28.66000,70.97168,100885.10937,,,,
2019-11-08 02:58:29 -02,2250,28.65000,70.99414,100885.02344,,,,
2019-11-08 02:58:50 -02,2251,28.65000,70.98145,100885.53125,,,,
2019-11-08 02:59:11 -02,2252,28.65000,70.97168,100884.00000,,,,
2019-11-08 02:59:31 -02,2253,28.65000,70.98242,100884.85156,,,,
2019-11-08 02:59:52 -02,2254,28.65000,71.00586,100882.98437,,,,
2019-11-08 03:00:13 -02,2255,28.65000,71.02734,100881.79687,,,,
2019-11-08 03:00:33 -02,2256,28.65000,71.02832,100883.15625,,,,
2019-11-08 03:00:54 -02,2257,28.65000,70.98242,100880.95312,,,,
2019-11-08 03:01:15 -02,2258,28.65000,70.99316,100880.95312,,,,
2019-11-08 03:01:35 -02,2259,28.65000,70.98242,100881.63281,,,,
2019-11-08 03:01:56 -02,2260,28.65000,71.01563,100879.00000,,,,
2019-11-08 03:02:17 -02,2261,28.65000,70.95801,100878.15625,,,,
2019-11-08 03:02:37 -02,2262,28.65000,71.01758,100880.28125,,,,
2019-11-08 03:02:58 -02,2263,28.65000,71.02832,100883.15625,,,,
2019-11-08 03:03:19 -02,2264,28.65000,70.99316,100875.02344,,,,
2019-11-08 03:03:39 -02,2265,28.65000,71.00586,100877.05469,,,,
2019-11-08 03:04:00 -02,2266,28.65000,71.00586,100877.56250,,,,
2019-11-08 03:04:21 -02,2267,28.65000,70.99414,100876.37500,,,,
2019-11-08 03:04:41 -02,2268,28.65000,70.97168,100873.15625,,,,
2019-11-08 03:05:02 -02,2269,28.65000,70.99316,100873.83594,,,,
2019-11-08 03:05:23 -02,2270,28.65000,71.00391,100874.93750,,,,
2019-11-08 03:05:43 -02,2271,28.65000,70.99414,100874.00000,,,,
2019-11-08 03:06:04 -02,2272,28.65000,71.01563,100872.73437,,,,
2019-11-08 03:06:25 -02,2273,28.65000,71.00391,100875.10937,,,,
2019-11-08 03:06:45 -02,2274,28.65000,70.99316,100872.90625,,,,
2019-11-08 03:07:06 -02,2275,28.65000,70.98242,100872.82031,,,,
2019-11-08 03:07:27 -02,2276,28.65000,70.98145,100871.54687,,,,
2019-11-08 03:07:47 -02,2277,28.65000,70.99316,100869.51562,,,,
2019-11-08 03:08:08 -02,2278,28.65000,70.95801,100870.28125,,,,
2019-11-08 03:08:29 -02,2279,28.66000,70.97168,100873.32812,,,,
2019-11-08 03:08:50 -02,2280,28.66000,70.98242,100870.01562,,,,
2019-11-08 03:09:10 -02,2281,28.65000,70.93652,100869.42969,,,,
2019-11-08 03:09:31 -02,2282,28.65000,70.94824,100868.23437,,,,
2019-11-08 03:09:52 -02,2283,28.65000,70.98242,100868.07031,,,,
2019-11-08 03:10:12 -02,2284,28.65000,70.94824,100868.75000,,,,
2019-11-08 03:10:33 -02,2285,28.65000,70.94727,100870.70312,,,,
2019-11-08 03:10:54 -02,2286,28.65000,70.94727,100865.95312,,,,
2019-11-08 03:11:14 -02,2287,28.65000,70.93652,100866.03906,,,,
2019-11-08 03:11:35 -02,2288,28.66000,70.94824,100870.18750,,,,
2019-11-08 03:11:56 -02,2289,28.65000,70.91406,100864.85156,,,,
2019-11-08 03:12:16 -02,2290,28.65000,70.88965,100868.07813,,,,
2019-11-08 03:12:37 -02,2291,28.65000,70.96973,100865.44531,,,,
2019-11-08 03:12:58 -02,2292,28.65000,70.93555,100867.31250,,,,
2019-11-08 03:13:18 -02,2293,28.65000,71.00391,100867.14062,,,,
2019-11-08 03:13:39 -02,2294,28.64000,70.98145,100866.89062,,,,
2019-11-08 03:14:00 -02,2295,28.65000,70.99316,100864.85156,,,,
2019-11-08 03:14:20 -02,2296,28.65000,71.00391,100866.89062,,,,
2019-11-08 03:14:41 -02,2297,28.65000,71.01563,100869.00000,,,,
2019-11-08 03:15:02 -02,2298,28.65000,71.01563,100864.76562,,,,
2019-11-08 03:15:22 -02,2299,28.64000,70.99316,100865.18750,,,,
2019-11-08 03:15:43 -02,2300,28.64000,71.00391,100865.35937,,,,
2019-11-08 03:16:04 -02,2301,28.65000,70.96973,100863.75000,,,,
2019-11-08 03:16:25 -02,2302,28.64000,71.01563,100863.92187,,,,
2019-11-08 03:16:45 -02,2303,28.64000,71.02539,100863.18750,,,,
2019-11-08 03:17:06 -02,2304,28.65000,71.00391,100865.60937,,,,
2019-11-08 03:17:27 -02,2305,28.65000,70.99316,100865.95312,,,,
2019-11-08 03:17:47 -02,2306,28.64000,71.02734,100863.57812,,,,
2019-11-08 03:18:08 -02,2307,28.64000,70.98145,100862.31250,,,,
2019-11-08 03:18:28 -02,2308,28.64000,71.01563,100861.46094,,,,
2019-11-08 03:18:49 -02,2309,28.65000,70.98145,100866.12500,,,,
2019-11-08 03:19:10 -02,2310,28.64000,71.01563,100860.95312,,,,
2019-11-08 03:19:30 -02,2311,28.64000,70.98145,100861.89062,,,,
2019-11-08 03:19:52 -02,2312,28.65000,70.95801,100859.17187,,,,
2019-11-08 03:20:13 -02,2313,28.64000,70.99316,100860.10937,,,,
2019-11-08 03:20:34 -02,2314,28.64000,71.00391,100859.17187,,,,
2019-11-08 03:20:55 -02,2315,28.64000,70.99121,100858.78125,,,,
2019-11-08 03:21:16 -02,2316,28.64000,71.00391,100856.21094,,,,
2019-11-08 03:21:41 -02,2317,28.64000,71.04980,100860.10937,,,,
2019-11-08 03:22:02 -02,2318,28.64000,71.02734,100858.41406,,,,
2019-11-08 03:22:23 -02,2319,28.64000,71.02734,100855.61719,,,,
2019-11-08 03:22:43 -02,2320,28.64000,71.02734,100856.96875,,,,
2019-11-08 03:23:04 -02,2321,28.64000,71.01465,100856.41406,,,,
2019-11-08 03:23:25 -02,2322,28.64000,70.97949,100855.39062,,,,
2019-11-08 03:23:45 -02,2323,28.64000,71.01465,100853.87500,,,,
2019-11-08 03:24:06 -02,2324,28.64000,71.00293,100854.89062,,,,
2019-11-08 03:24:27 -02,2325,28.64000,71.03906,100855.87500,,,,
