created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-06 23:40:54 -02,84,29.04000,68.75781,101319.00000,,,,
2019-11-06 23:41:15 -02,85,29.02000,68.80176,101327.85156,,,,
2019-11-06 23:41:36 -02,86,28.94000,68.99512,101339.88281,,,,
2019-11-06 23:41:56 -02,87,28.90000,69.16211,101329.46875,,,,
2019-11-06 23:42:17 -02,88,28.88000,69.23926,101322.59375,,,,
2019-11-06 23:42:38 -02,89,28.85000,69.38379,101322.79687,,,,
2019-11-06 23:42:58 -02,90,28.84000,69.48535,101326.04687,,,,
2019-11-06 23:43:19 -02,91,28.85000,69.52148,101325.67187,,,,
2019-11-06 23:43:40 -02,92,28.80000,69.66309,101320.80469,,,,
2019-11-06 23:44:01 -02,93,28.78000,69.72754,101317.40625,,,,
2019-11-06 23:44:21 -02,94,28.81000,69.76758,101321.53906,,,,
2019-11-06 23:44:42 -02,95,28.80000,69.84570,101318.00000,,,,
2019-11-06 23:45:03 -02,96,28.79000,69.91406,101322.50000,,,,
2019-11-06 23:45:23 -02,97,28.84000,69.78320,101318.63281,,,,
2019-11-06 23:45:44 -02,98,28.90000,69.67773,101320.56250,,,,
2019-11-06 23:46:05 -02,99,28.91000,69.66895,101315.39844,,,,
2019-11-06 23:46:25 -02,100,28.93000,69.61523,101317.07812,,,,
2019-11-06 23:46:46 -02,101,28.92000,69.64551,101313.67188,,,,
2019-11-06 23:47:07 -02,102,28.88000,69.77930,101312.67969,,,,
2019-11-06 23:47:27 -02,103,28.87000,69.89160,101309.82813,,,,
2019-11-06 23:47:48 -02,104,28.87000,69.93848,101313.56250,,,,
2019-11-06 23:48:09 -02,105,28.88000,69.95020,101317.17188,,,,
2019-11-06 23:48:30 -02,106,28.86000,70.07324,101318.04687,,,,
2019-11-06 23:48:50 -02,107,28.88000,70.04199,101315.30469,,,,
2019-11-06 23:49:11 -02,108,28.88000,70.06445,101320.39063,,,,
2019-11-06 23:49:32 -02,109,28.88000,70.07813,101316.57812,,,,
2019-11-06 23:49:52 -02,110,28.89000,70.05566,101310.81250,,,,
2019-11-06 23:50:13 -02,111,28.90000,70.06934,101316.67187,,,,
2019-11-06 23:50:34 -02,112,28.88000,70.18066,101310.46875,,,,
2019-11-06 23:50:54 -02,113,28.90000,70.35547,101314.96875,,,,
2019-11-06 23:51:15 -02,114,28.90000,70.44727,101319.29687,,,,
2019-11-06 23:51:36 -02,115,28.89000,70.53711,101308.85938,,,,
2019-11-06 23:51:56 -02,116,28.86000,70.63672,101316.94531,,,,
2019-11-06 23:52:17 -02,117,28.87000,70.74023,101309.48438,,,,
2019-11-06 23:52:38 -02,118,28.90000,70.75781,101309.37500,,,,
2019-11-06 23:52:59 -02,119,28.87000,70.78809,101306.09375,,,,
2019-11-06 23:53:19 -02,120,28.87000,70.82031,101313.04688,,,,
2019-11-06 23:53:40 -02,121,28.85000,70.90918,101313.71875,,,,
2019-11-06 23:54:01 -02,122,28.87000,70.87988,101319.49219,,,,
2019-11-06 23:54:21 -02,123,28.91000,70.71289,101311.38281,,,,
2019-11-06 23:54:42 -02,124,28.82000,70.85938,101315.95312,,,,
2019-11-06 23:55:03 -02,125,28.79000,70.98145,101316.30469,,,,
2019-11-06 23:55:23 -02,126,28.78000,71.04883,101318.50781,,,,
2019-11-06 23:55:44 -02,127,28.80000,71.02832,101309.53125,,,,
2019-11-06 23:56:05 -02,128,28.78000,71.04688,101309.09375,,,,
2019-11-06 23:56:25 -02,129,28.81000,70.98437,101307.83594,,,,
2019-11-06 23:56:46 -02,130,28.82000,70.89355,101310.94531,,,,
2019-11-06 23:57:07 -02,131,28.83000,70.83691,101304.50000,,,,
2019-11-06 23:57:28 -02,132,28.83000,70.81445,101304.07812,,,,
2019-11-06 23:57:48 -02,133,28.82000,70.85938,101303.48437,,,,
2019-11-06 23:58:09 -02,134,28.80000,70.88965,101304.85938,,,,
2019-11-06 23:58:30 -02,135,28.78000,70.93359,101308.00000,,,,
2019-11-06 23:58:50 -02,136,28.74000,71.04199,101298.51562,,,,
2019-11-06 23:59:11 -02,137,28.73000,71.09766,101295.32812,,,,
2019-11-06 23:59:32 -02,138,28.75000,71.06641,101300.73438,,,,
2019-11-06 23:59:52 -02,139,28.75000,71.04297,101300.39063,,,,
2019-11-07 00:00:13 -02,140,28.77000,71.03613,101301.12500,,,,
2019-11-07 00:00:34 -02,141,28.76000,71.06738,101309.03906,,,,
2019-11-07 00:00:54 -02,142,28.73000,71.05176,101303.46875,,,,
2019-11-07 00:01:15 -02,143,28.68000,71.11328,101306.61719,,,,
2019-11-07 00:01:36 -02,144,28.67000,71.21387,101304.60937,,,,
2019-11-07 00:01:56 -02,145,28.66000,71.29395,101299.78125,,,,
2019-11-07 00:02:17 -02,146,28.66000,71.28223,101300.20312,,,,
2019-11-07 00:02:38 -02,147,28.66000,71.29199,101297.36719,,,,
2019-11-07 00:02:59 -02,148,28.65000,71.30273,101299.31250,,,,
2019-11-07 00:03:19 -02,149,28.65000,71.33691,101300.07812,,,,
2019-11-07 00:03:40 -02,150,28.70000,71.28809,101298.14844,,,,
2019-11-07 00:04:01 -02,151,28.67000,71.29492,101304.95312,,,,
2019-11-07 00:04:21 -02,152,28.69000,71.37793,101297.46875,,,,
2019-11-07 00:04:42 -02,153,28.74000,71.31641,101296.42969,,,,
2019-11-07 00:05:03 -02,154,28.76000,71.25195,101295.64062,,,,
2019-11-07 00:05:23 -02,155,28.80000,71.16504,101296.13281,,,,
2019-11-07 00:05:44 -02,156,28.82000,71.08887,101296.70312,,,,
2019-11-07 00:06:05 -02,157,28.82000,71.10059,101289.49219,,,,
2019-11-07 00:06:25 -02,158,28.84000,71.11426,101288.73437,,,,
2019-11-07 00:06:46 -02,159,28.82000,71.14648,101288.98438,,,,
2019-11-07 00:07:07 -02,160,28.85000,71.12793,101285.90625,,,,
2019-11-07 00:07:28 -02,161,28.83000,71.18066,101288.21875,,,,
2019-11-07 00:07:48 -02,162,28.84000,71.17188,101285.34375,,,,
2019-11-07 00:08:09 -02,163,28.82000,71.23633,101292.54688,,,,
2019-11-07 00:08:30 -02,164,28.82000,71.27246,101282.96875,,,,
2019-11-07 00:08:50 -02,165,28.84000,71.26367,101282.51562,,,,
2019-11-07 00:09:11 -02,166,28.83000,71.28516,101290.68750,,,,
2019-11-07 00:09:32 -02,167,28.86000,71.26758,101284.13281,,,,
2019-11-07 00:09:52 -02,168,28.88000,71.16602,101278.50781,,,,
2019-11-07 00:10:13 -02,169,28.91000,71.06738,101280.20312,,,,
